"justiceName","term","id","justice","Robust_mean","Robust_975","Robust_025","Dynamic_mean","Dynamic_975","Dynamic_025","MQ_mean","MQ_sd","MQ_median","MQ_025","MQ_975"
"BRWhite",1985,"BRWhite-1985",95,1.63781419617818,2.13976440869691,1.18923539788914,1.64162151436558,2.12395375069895,1.17758563415067,1.205,0.2,1.202,0.827,1.6
"BRWhite",1986,"BRWhite-1986",95,1.65020170346187,2.1464143309923,1.21013317174254,1.67481328406338,2.15368227434901,1.23434787761295,1.2,0.189,1.196,0.848,1.581
"BRWhite",1987,"BRWhite-1987",95,1.46281588406053,1.97102416096621,0.981486418919193,1.45769469031675,1.9554345341191,0.972369781043621,0.978,0.201,0.972,0.599,1.389
"BRWhite",1988,"BRWhite-1988",95,1.46429722796549,1.98504380680622,1.03867875319801,1.48089046629944,1.96987269913077,1.00655061336563,1.062,0.192,1.057,0.704,1.456
"BRWhite",1989,"BRWhite-1989",95,1.22940482547234,1.70756949756316,0.764368699955283,1.237193376741,1.71464197705914,0.786510080653159,0.82,0.182,0.818,0.478,1.186
"BRWhite",1990,"BRWhite-1990",95,1.0065277849163,1.47012238690186,0.515336256179905,0.989653162058771,1.44682250731774,0.506200305254837,0.6,0.186,0.599,0.241,0.984
"BRWhite",1991,"BRWhite-1991",95,0.964654419447265,1.47567016645918,0.475865110595169,0.959337968373066,1.48018746090506,0.467023234126943,0.627,0.19,0.624,0.267,1.015
"BRWhite",1992,"BRWhite-1992",95,0.951892383328705,1.55007539887573,0.439183025978937,0.941750475750779,1.56212694048357,0.359298294743752,0.57,0.228,0.564,0.142,1.028
"CEHughes2",1937,"CEHughes2-1937",75,-0.54406485825895,-0.00803387920578085,-1.14053947838394,-0.423064824558618,0.140094808231172,-0.998340566006175,-0.371,0.234,-0.367,-0.834,0.08
"CEHughes2",1938,"CEHughes2-1938",75,-0.404631652523407,0.0964306249497091,-0.963518138564786,-0.192602053964889,0.27882912898102,-0.677075115018345,-0.191,0.188,-0.188,-0.558,0.18
